"bimod","bistab","tree_type","cell"
FALSE,0,"tree_uni_scatter15",5
FALSE,0,"tree_tip_scatter15",5
TRUE,10.8390012771887,"tree_uni",40
FALSE,0,"tree_tip",40
FALSE,0,"tree_uni_scatter5",40
FALSE,0,"tree_tip_scatter5",40
FALSE,0,"tree_uni_scatter10",40
FALSE,0,"tree_tip_scatter10",40
FALSE,0,"tree_uni_scatter15",40
FALSE,0,"tree_tip_scatter15",40
FALSE,0,"tree_uni",2
FALSE,0,"tree_tip",2
FALSE,0,"tree_uni_scatter5",2
FALSE,0,"tree_tip_scatter5",2
FALSE,0,"tree_uni_scatter10",2
FALSE,0,"tree_tip_scatter10",2
FALSE,0,"tree_uni_scatter15",2
FALSE,0,"tree_tip_scatter15",2
FALSE,0,"tree_uni",119
FALSE,0,"tree_tip",119
FALSE,0,"tree_uni_scatter5",119
FALSE,0,"tree_tip_scatter5",119
FALSE,0,"tree_uni_scatter10",119
FALSE,0,"tree_tip_scatter10",119
FALSE,0,"tree_uni_scatter15",119
FALSE,0,"tree_tip_scatter15",119
TRUE,5.4674245240419,"tree_uni",92
FALSE,0,"tree_tip",92
FALSE,0,"tree_uni_scatter5",92
FALSE,0,"tree_tip_scatter5",92
FALSE,0,"tree_uni_scatter10",92
FALSE,0,"tree_tip_scatter10",92
FALSE,0,"tree_uni_scatter15",92
FALSE,0,"tree_tip_scatter15",92
TRUE,17.8336633038944,"tree_uni",93
TRUE,55.8934334439704,"tree_tip",93
FALSE,0,"tree_uni_scatter5",93
TRUE,58.6797071047891,"tree_tip_scatter5",93
FALSE,0,"tree_uni_scatter10",93
FALSE,0,"tree_tip_scatter10",93
FALSE,0,"tree_uni_scatter15",93
FALSE,0,"tree_tip_scatter15",93
FALSE,0,"tree_uni",157
FALSE,0,"tree_tip",157
FALSE,0,"tree_uni_scatter5",157
FALSE,0,"tree_tip_scatter5",157
FALSE,0,"tree_uni_scatter10",157
FALSE,0,"tree_tip_scatter10",157
FALSE,0,"tree_uni_scatter15",157
FALSE,0,"tree_tip_scatter15",157
TRUE,2.02461070053955,"tree_uni",151
TRUE,60.9633373171103,"tree_tip",151
FALSE,0,"tree_uni_scatter5",151
FALSE,0,"tree_tip_scatter5",151
FALSE,0,"tree_uni_scatter10",151
FALSE,0,"tree_tip_scatter10",151
FALSE,0,"tree_uni_scatter15",151
FALSE,0,"tree_tip_scatter15",151
FALSE,0,"tree_uni",152
FALSE,0,"tree_tip",152
FALSE,0,"tree_uni_scatter5",152
FALSE,0,"tree_tip_scatter5",152
FALSE,0,"tree_uni_scatter10",152
FALSE,0,"tree_tip_scatter10",152
FALSE,0,"tree_uni_scatter15",152
FALSE,0,"tree_tip_scatter15",152
FALSE,0,"tree_uni",113
FALSE,0,"tree_tip",113
FALSE,0,"tree_uni_scatter5",113
FALSE,0,"tree_tip_scatter5",113
FALSE,0,"tree_uni_scatter10",113
FALSE,0,"tree_tip_scatter10",113
FALSE,0,"tree_uni_scatter15",113
FALSE,0,"tree_tip_scatter15",113
FALSE,0,"tree_uni",41
FALSE,0,"tree_tip",41
FALSE,0,"tree_uni_scatter5",41
TRUE,4.17635442676902,"tree_tip_scatter5",41
FALSE,0,"tree_uni_scatter10",41
FALSE,0,"tree_tip_scatter10",41
FALSE,0,"tree_uni_scatter15",41
FALSE,0,"tree_tip_scatter15",41
FALSE,0,"tree_uni",39
TRUE,55.5340069927433,"tree_tip",39
FALSE,0,"tree_uni_scatter5",39
TRUE,59.8812348342154,"tree_tip_scatter5",39
FALSE,0,"tree_uni_scatter10",39
TRUE,67.0132342577683,"tree_tip_scatter10",39
FALSE,0,"tree_uni_scatter15",39
FALSE,0,"tree_tip_scatter15",39
FALSE,0,"tree_uni",172
TRUE,53.4777696771278,"tree_tip",172
FALSE,0,"tree_uni_scatter5",172
FALSE,0,"tree_tip_scatter5",172
FALSE,0,"tree_uni_scatter10",172
FALSE,0,"tree_tip_scatter10",172
FALSE,0,"tree_uni_scatter15",172
FALSE,0,"tree_tip_scatter15",172
TRUE,0.30640722560878,"tree_uni",163
TRUE,60.5852361800892,"tree_tip",163
FALSE,0,"tree_uni_scatter5",163
TRUE,61.7542623133987,"tree_tip_scatter5",163
FALSE,0,"tree_uni_scatter10",163
TRUE,61.9281670263057,"tree_tip_scatter10",163
FALSE,0,"tree_uni_scatter15",163
TRUE,60.3636638259969,"tree_tip_scatter15",163
TRUE,51.1181918510016,"tree_uni",22
TRUE,41.9827595736688,"tree_tip",22
TRUE,44.2804281274002,"tree_uni_scatter5",22
FALSE,0,"tree_tip_scatter5",22
FALSE,0,"tree_uni_scatter10",22
FALSE,0,"tree_tip_scatter10",22
FALSE,0,"tree_uni_scatter15",22
FALSE,0,"tree_tip_scatter15",22
FALSE,0,"tree_uni",56
FALSE,0,"tree_tip",56
FALSE,0,"tree_uni_scatter5",56
FALSE,0,"tree_tip_scatter5",56
FALSE,0,"tree_uni_scatter10",56
FALSE,0,"tree_tip_scatter10",56
FALSE,0,"tree_uni_scatter15",56
FALSE,0,"tree_tip_scatter15",56
FALSE,0,"tree_uni",90
FALSE,0,"tree_tip",90
FALSE,0,"tree_uni_scatter5",90
FALSE,0,"tree_tip_scatter5",90
FALSE,0,"tree_uni_scatter10",90
FALSE,0,"tree_tip_scatter10",90
FALSE,0,"tree_uni_scatter15",90
FALSE,0,"tree_tip_scatter15",90
FALSE,0,"tree_uni",136
FALSE,0,"tree_tip",136
FALSE,0,"tree_uni_scatter5",136
FALSE,0,"tree_tip_scatter5",136
FALSE,0,"tree_uni_scatter10",136
FALSE,0,"tree_tip_scatter10",136
FALSE,0,"tree_uni_scatter15",136
FALSE,0,"tree_tip_scatter15",136
FALSE,0,"tree_uni",138
FALSE,0,"tree_tip",138
FALSE,0,"tree_uni_scatter5",138
FALSE,0,"tree_tip_scatter5",138
FALSE,0,"tree_uni_scatter10",138
FALSE,0,"tree_tip_scatter10",138
FALSE,0,"tree_uni_scatter15",138
FALSE,0,"tree_tip_scatter15",138
TRUE,12.4500744631252,"tree_uni",137
TRUE,35.3096899403647,"tree_tip",137
FALSE,0,"tree_uni_scatter5",137
TRUE,35.0655581703138,"tree_tip_scatter5",137
FALSE,0,"tree_uni_scatter10",137
