"bimod","bistab","tree_type","cell"
TRUE,39.5034874161096,"tree_tip_scatter5",5
FALSE,0,"tree_uni_scatter10",5
FALSE,0,"tree_tip_scatter10",5
FALSE,0,"tree_uni_scatter15",5
FALSE,0,"tree_tip_scatter15",5
FALSE,0,"tree_uni",40
TRUE,67.2461325138896,"tree_tip",40
FALSE,0,"tree_uni_scatter5",40
TRUE,63.5522536673872,"tree_tip_scatter5",40
FALSE,0,"tree_uni_scatter10",40
TRUE,64.568833681794,"tree_tip_scatter10",40
FALSE,0,"tree_uni_scatter15",40
TRUE,65.2617725420978,"tree_tip_scatter15",40
FALSE,0,"tree_uni",2
FALSE,0,"tree_tip",2
FALSE,0,"tree_uni_scatter5",2
FALSE,0,"tree_tip_scatter5",2
FALSE,0,"tree_uni_scatter10",2
FALSE,0,"tree_tip_scatter10",2
FALSE,0,"tree_uni_scatter15",2
FALSE,0,"tree_tip_scatter15",2
FALSE,0,"tree_uni",119
FALSE,0,"tree_tip",119
FALSE,0,"tree_uni_scatter5",119
FALSE,0,"tree_tip_scatter5",119
FALSE,0,"tree_uni_scatter10",119
FALSE,0,"tree_tip_scatter10",119
FALSE,0,"tree_uni_scatter15",119
FALSE,0,"tree_tip_scatter15",119
FALSE,0,"tree_uni",92
TRUE,60.584594221332,"tree_tip",92
FALSE,0,"tree_uni_scatter5",92
TRUE,63.0330584522055,"tree_tip_scatter5",92
FALSE,0,"tree_uni_scatter10",92
FALSE,0,"tree_tip_scatter10",92
FALSE,0,"tree_uni_scatter15",92
FALSE,0,"tree_tip_scatter15",92
FALSE,0,"tree_uni",93
TRUE,73.207614381911,"tree_tip",93
FALSE,0,"tree_uni_scatter5",93
TRUE,72.0854279514749,"tree_tip_scatter5",93
FALSE,0,"tree_uni_scatter10",93
TRUE,69.3264976401577,"tree_tip_scatter10",93
FALSE,0,"tree_uni_scatter15",93
TRUE,89.7928296140775,"tree_tip_scatter15",93
FALSE,0,"tree_uni",157
FALSE,0,"tree_tip",157
FALSE,0,"tree_uni_scatter5",157
FALSE,0,"tree_tip_scatter5",157
FALSE,0,"tree_uni_scatter10",157
FALSE,0,"tree_tip_scatter10",157
FALSE,0,"tree_uni_scatter15",157
FALSE,0,"tree_tip_scatter15",157
TRUE,26.1351305322696,"tree_uni",151
TRUE,73.3002033463588,"tree_tip",151
FALSE,0,"tree_uni_scatter5",151
TRUE,74.4114758358251,"tree_tip_scatter5",151
FALSE,0,"tree_uni_scatter10",151
TRUE,68.4100934377096,"tree_tip_scatter10",151
FALSE,0,"tree_uni_scatter15",151
TRUE,92.2837834591199,"tree_tip_scatter15",151
FALSE,0,"tree_uni",152
FALSE,0,"tree_tip",152
FALSE,0,"tree_uni_scatter5",152
FALSE,0,"tree_tip_scatter5",152
FALSE,0,"tree_uni_scatter10",152
FALSE,0,"tree_tip_scatter10",152
FALSE,0,"tree_uni_scatter15",152
FALSE,0,"tree_tip_scatter15",152
FALSE,0,"tree_uni",113
FALSE,0,"tree_tip",113
FALSE,0,"tree_uni_scatter5",113
FALSE,0,"tree_tip_scatter5",113
FALSE,0,"tree_uni_scatter10",113
FALSE,0,"tree_tip_scatter10",113
FALSE,0,"tree_uni_scatter15",113
FALSE,0,"tree_tip_scatter15",113
FALSE,0,"tree_uni",41
FALSE,0,"tree_tip",41
FALSE,0,"tree_uni_scatter5",41
FALSE,0,"tree_tip_scatter5",41
FALSE,0,"tree_uni_scatter10",41
FALSE,0,"tree_tip_scatter10",41
FALSE,0,"tree_uni_scatter15",41
FALSE,0,"tree_tip_scatter15",41
FALSE,0,"tree_uni",39
TRUE,61.2221109520409,"tree_tip",39
FALSE,0,"tree_uni_scatter5",39
TRUE,61.0895666797505,"tree_tip_scatter5",39
FALSE,0,"tree_uni_scatter10",39
FALSE,0,"tree_tip_scatter10",39
FALSE,0,"tree_uni_scatter15",39
FALSE,0,"tree_tip_scatter15",39
FALSE,0,"tree_uni",172
FALSE,0,"tree_tip",172
FALSE,0,"tree_uni_scatter5",172
FALSE,0,"tree_tip_scatter5",172
FALSE,0,"tree_uni_scatter10",172
FALSE,0,"tree_tip_scatter10",172
FALSE,0,"tree_uni_scatter15",172
FALSE,0,"tree_tip_scatter15",172
TRUE,10.3626876612935,"tree_uni",163
TRUE,73.1635280038896,"tree_tip",163
FALSE,0,"tree_uni_scatter5",163
TRUE,71.832551647639,"tree_tip_scatter5",163
FALSE,0,"tree_uni_scatter10",163
TRUE,72.1120611801355,"tree_tip_scatter10",163
FALSE,0,"tree_uni_scatter15",163
TRUE,79.9817025108988,"tree_tip_scatter15",163
FALSE,0,"tree_uni",22
FALSE,0,"tree_tip",22
FALSE,0,"tree_uni_scatter5",22
FALSE,0,"tree_tip_scatter5",22
FALSE,0,"tree_uni_scatter10",22
FALSE,0,"tree_tip_scatter10",22
FALSE,0,"tree_uni_scatter15",22
FALSE,0,"tree_tip_scatter15",22
FALSE,0,"tree_uni",56
FALSE,0,"tree_tip",56
FALSE,0,"tree_uni_scatter5",56
TRUE,7.0812360992858,"tree_tip_scatter5",56
FALSE,0,"tree_uni_scatter10",56
FALSE,0,"tree_tip_scatter10",56
FALSE,0,"tree_uni_scatter15",56
FALSE,0,"tree_tip_scatter15",56
FALSE,0,"tree_uni",90
TRUE,60.6023321413429,"tree_tip",90
FALSE,0,"tree_uni_scatter5",90
TRUE,60.88148158083,"tree_tip_scatter5",90
FALSE,0,"tree_uni_scatter10",90
FALSE,0,"tree_tip_scatter10",90
FALSE,0,"tree_uni_scatter15",90
FALSE,0,"tree_tip_scatter15",90
FALSE,0,"tree_uni",136
FALSE,0,"tree_tip",136
FALSE,0,"tree_uni_scatter5",136
FALSE,0,"tree_tip_scatter5",136
FALSE,0,"tree_uni_scatter10",136
FALSE,0,"tree_tip_scatter10",136
FALSE,0,"tree_uni_scatter15",136
FALSE,0,"tree_tip_scatter15",136
FALSE,0,"tree_uni",138
FALSE,0,"tree_tip",138
FALSE,0,"tree_uni_scatter5",138
FALSE,0,"tree_tip_scatter5",138
FALSE,0,"tree_uni_scatter10",138
FALSE,0,"tree_tip_scatter10",138
FALSE,0,"tree_uni_scatter15",138
TRUE,31.7668269118347,"tree_tip_scatter15",138
TRUE,23.2224551110139,"tree_uni",137
TRUE,73.2179094673597,"tree_tip",137
FALSE,0,"tree_uni_scatter5",137
TRUE,75.5090074615252,"tree_tip_scatter5",137
FALSE,0,"tree_uni_scatter10",137
TRUE,76.2636830147147,"tree_tip_scatter10",137
