"TJJA_start","TJJA_stop","tree","type","samples"
15.5,16.5,89.5689690630364,"max",5749
15.75,16.75,88.6888248818246,"max",6039
16,17,88.6061494486055,"max",6588
16.25,17.25,22.9596892180091,"min",7052
16.25,17.25,14.0518406042092,"max",7052
16.25,17.25,88.8777689601278,"max",7052
16.5,17.5,25.2373019838349,"min",7456
16.5,17.5,13.7783644379126,"max",7456
16.5,17.5,89.152709184424,"max",7456
16.75,17.75,26.7137031835584,"min",7813
16.75,17.75,15.8073706094288,"max",7813
16.75,17.75,89.1080709332301,"max",7813
17,18,23.3942595253527,"min",7963
17,18,17.2985460524471,"max",7963
17,18,89.1771674204585,"max",7963
17.25,18.25,25.5144159375158,"min",8116
17.25,18.25,20.1910593702115,"max",8116
17.25,18.25,88.887708405424,"max",8116
17.5,18.5,24.8972282759145,"min",8001
17.5,18.5,20.0550692631468,"max",8001
17.5,18.5,88.609846864964,"max",8001
17.75,18.75,87.8629030941606,"max",7595
18,19,86.8516686694457,"max",7078
18.25,19.25,86.4753789261624,"max",6303
18.5,19.5,86.0748666717233,"max",5535
18.75,19.75,19.2996726079006,"min",4794
18.75,19.75,13.340959274413,"max",4794
18.75,19.75,85.881817247306,"max",4794
19,20,20.5989650333928,"min",4118
19,20,13.5427166414071,"max",4118
19,20,85.4119132264468,"max",4118
19.25,20.25,20.2624958685438,"min",3536
19.25,20.25,60.1768347472095,"min",3536
19.25,20.25,17.0904954278551,"max",3536
19.25,20.25,51.4538335353156,"max",3536
19.25,20.25,85.8171716427762,"max",3536
19.5,20.5,57.0776380972315,"min",3013
19.5,20.5,37.5807482444806,"max",3013
19.5,20.5,85.6552711690718,"max",3013
19.75,20.75,56.0747766661911,"min",2579
19.75,20.75,32.0456600754797,"max",2579
19.75,20.75,84.9637145898554,"max",2579
20,21,58.5999886576061,"min",2114
20,21,32.1174839024381,"max",2114
20,21,84.2634468739544,"max",2114
20.25,21.25,59.8001580848779,"min",1660
20.25,21.25,35.2307476749023,"max",1660
20.25,21.25,82.4371429569903,"max",1660
20.5,21.5,61.7963238773629,"min",1349
20.5,21.5,37.0934338753558,"max",1349
20.5,21.5,79.8377603956827,"max",1349
20.75,21.75,61.5916913077591,"min",1107
20.75,21.75,36.4530836523779,"max",1107
20.75,21.75,78.6300809408507,"max",1107
21,22,58.4958132955061,"min",883
21,22,25.3558080218039,"max",883
21,22,76.057183611485,"max",883
21.25,22.25,59.696457175516,"min",731
21.25,22.25,20.0442915815839,"max",731
21.25,22.25,73.9598260941966,"max",731
21.5,22.5,19.0438042404232,"max",553
21.75,22.75,17.8805104527124,"max",404
22,23,18.0354992878158,"max",304
22.25,23.25,20.3225055216141,"max",260
22.5,23.5,15.9123846369342,"max",224
22.75,23.75,12.6384617247945,"max",219
23,24,10.6966277301316,"max",197
23.25,24.25,9.2302766362616,"max",153
23.5,24.5,8.59689260627122,"max",124
23.75,24.75,7.88909024276973,"max",90
24,25,30.7339286695298,"min",67
24,25,6.77957747225671,"max",67
24,25,34.8170567145195,"max",67
24.25,25.25,7.07542317577498,"max",58
24.5,25.5,6.90085504172611,"max",51
