"TJJA_start","TJJA_stop","tree","type","samples"
21,22,1.68725523351879,"max",7261
21.25,22.25,1.56571617912227,"max",6595
21.5,22.5,1.441012711553,"max",6050
21.75,22.75,1.37798808656788,"max",5780
22,23,1.44998245459294,"max",5730
22.25,23.25,1.30713101339389,"max",5650
22.5,23.5,1.28539138573467,"max",5764
22.75,23.75,1.17444055519644,"max",5648
23,24,1.08684463126183,"max",5642
23.25,24.25,0.852743555589737,"max",5595
23.5,24.5,0.789977288467541,"max",5566
23.75,24.75,0.682506691917016,"max",5540
24,25,0.51030861512228,"max",5381
24.25,25.25,0.538510296025455,"max",5169
24.5,25.5,0.430114835471657,"max",4816
